Wavelength	Blackberry	Grass	Blueberry	Litter	Humus	Soil
672	0.056184796	0.04321419	0.048572559	0.21389639	0.036051322	0.108786211
673	0.056300454	0.04329392	0.048593522	0.214891676	0.036187634	0.109308129
674	0.056447845	0.04340511	0.048664546	0.216013389	0.036316784	0.10981956
675	0.056634505	0.043555011	0.048796571	0.217274961	0.036437874	0.110316797
676	0.056858468	0.043747755	0.049001125	0.218734123	0.036567926	0.110819691
677	0.05712306	0.043981326	0.049277137	0.220397189	0.036699048	0.111327118
678	0.05743864	0.044265447	0.049642727	0.222263636	0.036826055	0.111835193
679	0.057815263	0.044617335	0.050125161	0.224396493	0.036979362	0.112386194
680	0.058242582	0.045030015	0.050738453	0.226775227	0.037146037	0.112955779
681	0.05873387	0.045534706	0.051521515	0.229378926	0.037309344	0.113523983
682	0.059310917	0.046172865	0.052528897	0.232198166	0.03747245	0.114085046
683	0.059970649	0.046945985	0.053785273	0.235198259	0.037623126	0.114635469
684	0.060753742	0.047920869	0.055367677	0.238368858	0.037761896	0.115181633
685	0.061713336	0.049164554	0.05735027	0.241697687	0.037910456	0.115733835
686	0.062870644	0.050709582	0.059773803	0.245108844	0.038052748	0.116280678
687	0.064284498	0.052620918	0.062697531	0.248555009	0.0381969	0.116828136
688	0.06601022	0.054953733	0.066164395	0.251958787	0.038335371	0.117361093
689	0.068099015	0.05776026	0.070216693	0.25528378	0.038466707	0.117886875
690	0.070614534	0.06109417	0.074889177	0.258539649	0.038602082	0.118423098
691	0.073601792	0.064977329	0.080178113	0.261639343	0.038731888	0.118941961
692	0.077126484	0.069448472	0.086093586	0.264611959	0.038863747	0.119472232
693	0.081195047	0.074486795	0.092591044	0.267438301	0.03900272	0.120010507
694	0.085820568	0.080064707	0.099608224	0.270117565	0.039153595	0.120559929
695	0.091008371	0.086150313	0.107081044	0.272660635	0.039313592	0.121127093
696	0.096714614	0.092676917	0.114930779	0.27505944	0.039470689	0.121697428
697	0.102903666	0.099576463	0.123070682	0.277364315	0.039647347	0.122290927
698	0.109519934	0.106768429	0.131418055	0.279590397	0.039836968	0.122897523
699	0.116496931	0.114176936	0.139884992	0.281714062	0.040011881	0.123494721
700	0.123732748	0.121683058	0.14834991	0.283720408	0.040174924	0.124066503
701	0.131127074	0.129178796	0.156714709	0.285616381	0.040332074	0.124615522
702	0.138646562	0.136653915	0.164972653	0.287461652	0.040486447	0.125162819
703	0.14623199	0.144051218	0.173076926	0.289240885	0.040633266	0.125707044
704	0.153820403	0.151317574	0.180981413	0.290966739	0.040777165	0.126250034
705	0.161383009	0.15844328	0.18867385	0.292637569	0.040930888	0.126787496
706	0.168891394	0.165417099	0.196158107	0.294236651	0.041073781	0.127304872
707	0.176330964	0.172246334	0.203442239	0.295788454	0.041208161	0.127813054
708	0.18372432	0.178974849	0.210561583	0.297348903	0.041351019	0.12833881
709	0.191053458	0.185604311	0.217506246	0.298870841	0.04149828	0.12886357
710	0.198301534	0.19213397	0.224276236	0.300351666	0.041646736	0.129384548
711	0.205477078	0.198590012	0.23089084	0.301805015	0.041799078	0.129905325
712	0.212593919	0.204998594	0.237364068	0.303229469	0.04195524	0.130423403
713	0.219681266	0.211408255	0.243741883	0.304666971	0.042113975	0.130953063
714	0.226688591	0.217784046	0.24998084	0.306069071	0.042258646	0.131472131
715	0.233625546	0.224136042	0.25608007	0.307470843	0.042406065	0.132004221
